client_id,region,datetime,temperature,humidity,pressure,co2
TK240131,374,2026-06-19T16:14:02.323434,23.2,41.0,914.4,766
TK240131,374,2026-06-19T16:14:06.324130,28.5,49.6,1386.0,675
TK240131,374,2026-06-19T16:14:10.325270,25.9,57.6,1218.9,505
TK240131,374,2026-06-19T16:14:14.326283,28.7,56.0,1148.2,658
TK240131,374,2026-06-19T16:14:18.326970,24.7,54.6,1101.6,627
TK240131,374,2026-06-19T16:19:53.609076,28.4,46.3,1099.2,664
TK240131,374,2026-06-19T16:19:57.610351,26.1,55.5,1085.6,503
TK240131,374,2026-06-19T16:20:01.611480,26.0,44.3,986.6,576
TK240131,374,2026-06-19T16:20:05.612324,25.6,40.7,1390.9,570
TK240131,374,2026-06-19T16:20:09.613359,29.0,39.9,1134.0,535
TK240131,374,2026-06-19T16:20:13.614199,28.0,45.0,1369.4,799
TK240131,374,2026-06-19T16:20:17.615362,23.9,52.7,1198.5,572
TK240131,374,2026-06-19T16:20:21.616496,27.6,48.4,1348.5,573
TK240131,374,2026-06-19T16:20:25.617714,25.3,46.9,1350.9,645
TK240131,374,2026-06-19T16:20:29.618900,29.8,57.4,1294.4,625
TK240131,374,2026-06-19T16:20:33.619903,28.7,49.8,1075.5,728
TK240131,374,2026-06-19T16:20:37.621026,25.1,45.0,1362.4,717
TK240131,374,2026-06-19T16:20:41.622401,27.3,56.9,1081.9,602
TK240131,374,2026-06-19T16:33:14.275220,26.1,42.3,1127.4,669
TK240131,374,2026-06-19T16:33:18.276191,23.3,44.3,943.7,768
TK240131,374,2026-06-19T16:33:22.277515,29.9,54.9,1092.2,561
TK240131,374,2026-06-19T16:33:26.278211,23.6,55.6,1046.2,587
TK240131,374,2026-06-19T16:33:30.278914,29.7,51.9,1285.7,616
TK240131,374,2026-06-19T16:33:34.279612,23.1,44.6,1219.4,655
TK240131,374,2026-06-19T16:33:38.280392,29.0,53.7,1363.8,685
TK240131,374,2026-06-19T16:33:42.281327,26.6,46.7,1111.2,538
TK240131,374,2026-06-19T16:33:46.282029,25.0,56.1,1300.3,791
TK240131,374,2026-06-19T16:33:50.282740,27.7,42.6,981.8,680
TK240131,374,2026-06-19T16:33:54.283467,29.4,54.6,1194.8,616
TK240131,374,2026-06-19T16:33:58.284229,27.2,49.7,951.7,659
TK240131,374,2026-06-19T16:34:02.285158,27.0,53.1,1375.3,792
TK240131,374,2026-06-19T16:34:06.285868,27.2,51.0,1249.5,531
TK240131,374,2026-06-19T16:34:10.287023,23.1,53.6,901.9,706
TK240131,374,2026-06-19T16:34:14.288202,25.4,50.5,967.4,530
TK240131,374,2026-06-19T16:34:18.289505,27.3,41.8,929.4,720
TK240131,374,2026-06-19T16:34:22.290300,26.5,46.6,906.5,793
TK240131,374,2026-06-19T16:34:26.291084,26.2,58.1,1280.0,649
TK240131,374,2026-06-19T16:34:30.292209,27.5,50.1,1063.7,607
TK240131,374,2026-06-19T16:34:34.293176,23.7,52.1,1313.5,570
TK240131,374,2026-06-19T16:34:38.294433,23.3,40.9,1081.8,543
TK240131,374,2026-06-19T16:34:42.295536,23.0,51.6,1269.2,724
TK240131,374,2026-06-19T16:34:46.296208,23.7,48.6,1079.0,551
TK240131,374,2026-06-19T16:34:50.297434,29.7,58.2,1078.6,799
TK240131,374,2026-06-19T16:34:54.298694,23.8,43.4,1292.3,604
TK240131,374,2026-06-19T16:34:58.300812,23.5,49.5,1398.4,656
TK240131,374,2026-06-19T16:35:02.301752,29.2,42.3,910.9,698
TK240131,374,2026-06-19T16:35:06.302447,26.7,53.0,1287.4,577
TK240131,374,2026-06-19T16:35:10.303643,28.2,58.0,1181.1,772
TK240131,374,2026-06-19T16:35:14.304332,26.9,42.9,987.8,741
TK240131,374,2026-06-19T16:35:18.305375,23.3,51.9,1165.5,657
TK240131,374,2026-06-19T16:35:22.306575,27.9,57.7,1151.3,746
TK240131,374,2026-06-19T16:35:26.307849,30.0,59.6,1122.6,676
TK240131,374,2026-06-19T16:35:30.308986,26.7,49.3,1278.8,786
TK240131,374,2026-06-19T16:35:34.309732,25.8,44.0,1175.6,588
TK240131,374,2026-06-19T16:35:38.310488,24.8,44.6,1090.9,523
TK240131,374,2026-06-19T16:35:42.312498,28.5,49.9,919.6,650
TK240131,374,2026-06-19T16:35:46.313173,25.6,41.2,929.6,532
TK240131,374,2026-06-19T16:35:50.313949,26.3,59.3,1358.2,760
TK240131,374,2026-06-19T16:35:54.315075,27.3,59.6,1228.1,617
TK240131,374,2026-06-19T16:35:58.315816,24.1,46.0,1393.9,736
TK240131,374,2026-06-19T16:36:02.316849,28.0,42.9,900.1,697
TK240131,374,2026-06-19T16:36:06.317583,26.8,56.5,1252.4,589
TK240131,374,2026-06-19T16:36:10.318337,28.6,40.3,1302.5,512
TK240131,374,2026-06-19T16:36:14.320412,28.7,50.6,901.2,531
TK240131,374,2026-06-19T16:36:18.321361,23.7,51.5,1134.7,659
TK240131,374,2026-06-19T16:36:22.322211,23.7,51.6,1350.2,648
TK240131,374,2026-06-19T16:36:26.323276,23.6,44.2,962.5,676
TK240131,374,2026-06-19T16:36:30.324423,23.5,43.3,1370.8,791
TK240131,374,2026-06-19T16:36:34.325450,23.1,46.1,1099.1,793
TK240131,374,2026-06-19T16:36:38.326668,27.7,54.1,1184.5,723
TK240131,374,2026-06-19T16:36:42.327697,29.8,53.4,1142.3,705
TK240131,374,2026-06-19T16:36:46.328459,26.2,57.0,1156.3,668
TK240131,374,2026-06-19T16:36:50.329680,29.0,39.7,1239.3,677
TK240131,374,2026-06-19T16:36:54.330389,27.0,59.7,1347.3,656
TK240131,374,2026-06-19T16:36:58.331264,23.4,40.4,1048.0,767
TK240131,374,2026-06-19T16:37:02.332453,27.7,48.7,1120.9,586
TK240131,374,2026-06-19T16:37:06.333143,27.7,45.2,952.1,634
TK240131,374,2026-06-19T16:37:10.333921,25.5,46.1,987.8,741
TK240131,374,2026-06-19T16:37:14.335084,23.5,54.9,1223.9,792
TK240131,374,2026-06-19T16:37:18.335935,29.2,39.6,1298.8,716
TK240131,374,2026-06-19T16:37:22.337093,24.4,47.2,906.3,756
TK240131,374,2026-06-19T16:37:26.337821,24.8,52.6,1180.2,604
TK240131,374,2026-06-19T16:37:30.338515,27.9,54.9,945.1,664
TK240131,374,2026-06-19T16:37:34.339220,24.2,58.3,1357.1,684
TK240131,374,2026-06-19T16:37:38.339932,29.6,48.6,905.0,729
TK240131,374,2026-06-19T16:37:42.340642,29.3,54.3,1083.5,618
TK240131,374,2026-06-19T16:37:46.341332,28.5,46.5,981.1,555
TK240131,374,2026-06-19T16:37:50.342022,26.5,56.8,1029.0,771
TK240131,374,2026-06-19T16:37:54.342725,27.8,56.0,1271.4,530
TK240131,374,2026-06-19T16:37:58.343434,25.1,55.4,900.3,728
TK240131,374,2026-06-19T16:38:02.344652,23.1,56.4,1203.3,788
TK240131,374,2026-06-19T16:38:06.345333,26.7,50.8,1007.5,598
TK240131,374,2026-06-19T16:38:10.346017,23.5,52.7,1023.6,550
TK240131,374,2026-06-19T16:38:23.040331,28.3,58.5,914.0,603
TK240131,374,2026-06-19T16:38:27.041035,27.2,54.3,1281.6,556
TK240131,374,2026-06-19T16:38:31.041765,23.6,56.4,1377.6,507
TK240131,374,2026-06-19T16:38:35.042463,27.9,54.1,1355.6,726
TK240131,374,2026-06-19T16:38:39.043230,28.6,54.8,1153.3,585
TK240131,374,2026-06-19T16:38:43.044377,24.9,57.6,1169.7,793
TK240131,374,2026-06-19T16:38:47.045061,24.0,57.5,935.0,675
TK240131,374,2026-06-19T16:38:51.045772,24.9,51.8,1357.7,661
TK240131,374,2026-06-19T16:38:55.046780,27.8,51.9,951.2,709
TK240131,374,2026-06-19T16:38:59.047448,28.1,51.7,929.7,547
TK240131,374,2026-06-19T16:39:03.048140,30.0,54.6,1176.2,527
TK240131,374,2026-06-19T16:39:07.048826,27.8,45.4,1104.1,684
TK240131,374,2026-06-19T16:39:11.052142,28.9,40.0,1251.8,762
TK240131,374,2026-06-19T16:39:15.052976,28.8,50.5,1007.5,586
TK240131,374,2026-06-19T16:39:19.056689,24.1,52.9,1256.9,589
TK240131,374,2026-06-19T16:39:23.058191,25.5,39.1,1114.3,526
TK240131,374,2026-06-19T16:39:27.059444,23.8,59.9,1306.2,619
TK240131,374,2026-06-19T16:39:31.060680,23.8,45.6,1234.6,794
